step,time [s],temperature [C],He-3,He-3 sigma,He-4/He-3,He-4/He-3 sigma,fit
1,1368,260,0.162,0.015,234,42,1
2,1836,290,0.213,0.018,250,38,1
3,2376,300,0.234,0.019,262,35,1
4,2376,310,0.239,0.019,291,36,1
5,1656,330,0.222,0.018,308,39,1
6,1620,340,0.211,0.017,287,40,1
7,1728,350,0.212,0.018,318,42,1
8,2376,350,0.177,0.016,419,57,1
9,1908,370,0.159,0.015,431,64,1
10,1728,400,0.54,0.03,649,55,1
11,1800,410,0.194,0.017,687,84,1
12,2016,420,0.103,0.011,814,147,1
13,2268,440,0.259,0.02,709,127,1
14,1800,475,0.227,0.018,667,70,1
15,1800,500,0.098,0.011,734,143,1
16,1800,550,0.222,0.018,740,80,1
17,1800,700,0.387,0.025,848,61,1
18,1800,900,0.264,0.02,765,73,1
