step,time [s],temperature [C],He-3,He-3 sigma,He-4/He-3,He-4/He-3 sigma,fit
1,1368,260,0.472,0.029,568,36,1
2,1836,290,0.63,0.034,827,43,1
3,2376,300,0.566,0.032,528,30,1
4,2376,310,0.551,0.031,588,35,1
5,1656,330,0.473,0.029,774,47,1
6,1620,340,0.477,0.029,693,43,1
7,1728,350,0.499,0.03,763,45,1
8,2376,350,0.414,0.027,870,56,1
9,1908,370,0.466,0.029,952,58,1
10,1728,400,0.72,0.036,1065,50,1
11,1800,410,0.869,0.039,1241,53,1
12,2016,420,0.496,0.03,1043,63,1
13,2268,440,0.536,0.031,1227,67,1
14,1800,475,0.653,0.034,1246,61,1
15,1800,500,0.69,0.035,1226,58,1
16,1800,550,1.025,0.043,1155,45,1
17,1800,700,2.876,0.072,1158,26,1
18,1800,900,1.105,0.045,1133,43,1
