grain name,mineral,crystallization age [Ma],halfwidth [um],D0 [cm^2/s],Ea [kJ/mol],geometry,mdd file,offset [C],raw Ar age [Ma],raw Ar age sigma [Ma],raw He age [Ma],raw He age sigma [Ma],FT age [Ma],FT age sigma [Ma],track length [um],track angle [degrees],l0 [um],l0 sigma [um],dpar [um],F [apfu],Cl [apfu],OH [apfu],rmr0,U238 [ppm],Th232 [ppm],Sm147 [ppm],U238_matrix [ppm],Th232_matrix [ppm],Sm147_matrix [ppm],reference,notes
test1,hematite,3000,35,0.6071,122.3,spherical,,,,,150.37,5,,,,,,,,,,,,110.7,35.1,,,,,,
test2,hematite,3000,135,0.6071,122.3,spherical,,,,,263.92,5,,,,,,,,,,,,110.7,35.1,,,,,,
test3,hematite,3000,35,0.6071,122.3,spherical,,,,,150.37,5,,,,,,,,,,,,110.7,35.1,,30,15,,,
test4,hematite,3000,135,0.6071,122.3,spherical,,,,,263.92,5,,,,,,,,,,,,110.7,35.1,,30,15,,,
test5,hematite,3000,50,0.6071,122.3,slab,,,,,263.92,5,,,,,,,,,,,,110.7,35.1,,30,15,,,
test6,orthoclase,3000,35,59.98,205.94,spherical,,,917.84,5,,,,,,,,,,,,,,,,,,,,,
test7,orthoclase,3000,135,59.98,205.94,spherical,,,1023.73,5,,,,,,,,,,,,,,,,,,,,,
test8,orthoclase,3000,50,59.98,205.94,slab,,,1023.73,5,,,,,,,,,,,,,,,,,,,,,
test11,zircon,3000,35,,,,,,,,380,5,,,,,,,,,,,,1107.1,177.76,38.13,,,,,
test12,zircon,3000,35,,,,,,,,380,5,,,,,,,,,,,,1107.1,177.76,38.13,15.94,35.62,2.235,,
test13,apatite,3000,35,,,,,,,,120,5,,,,,,,,,,,,110.7,35.1,38.13,,,,,
test14,apatite,3000,35,,,,,,,,120,5,,,,,,,,,,,,110.7,35.1,38.13,15.94,35.62,2.235,,
test15,zircon,3000,,,,,,,,,,,1080,5,,,,,,,,,,,,,,,,,
test16,apatite,3000,,,,,,,,,,,300,5,,,,,,1.75,0.01,0.24,0.83,,,,,,,,
test17,monazite,3000,,,,,,,,,,,100,5,,,,,,,,,,,,,,,,,
test18,zircon,3000,35,,,,,27,,,150,5,,,,,,,,,,,,1107.1,177.76,38.13,15.94,35.62,2.235,,
test19,apatite,3000,35,,,,,-27,,,180,5,,,,,,,,,,,,110.7,35.1,38.13,15.94,35.62,2.235,,
test9,orthoclase,800,,,,spherical,../examples/ol13-mdd.csv,,,,,,,,,,,,,,,,,,,,,,,,
test10,orthoclase,800,,,,slab,../examples/ol13-mdd.csv,,,,,,,,,,,,,,,,,,,,,,,,
test20,zircon,3000,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,
test21,apatite,3000,,,,,,,,,,,,,14,60,16.38,0.09,,,,,0.83,,,,,,,,
test22,apatite,3000,,,,,,,,,,,,,13.5,45,16.38,0.09,,0.262373689227838,0.01,1.72762631077216,,,,,,,,,
test23,apatite,3000,,,,,,,,,,,,,13,0,16.38,0.09,2,,,,,,,,,,,,
test24,apatite,3000,,,,,,,,,,,,,13,,16.38,0.09,,,,,,,,,,,,,
test25,monazite,3000,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,
