grain name,mineral,crystallization age [Ma],halfwidth [um],raw He age [Ma],raw He age sigma [Ma],U238 [ppm],Th232 [ppm],Sm147 [ppm],FT age [Ma],FT age sigma [Ma],track length [um],track angle [degrees],dpar [um],F [apfu],Cl [apfu],OH [apfu],rmr0,reference
97-10-481-z1,zircon,2500,64.9,465.6,11.6,97.2940396778516,22,0,,,,,,,,,,McDannell & Keller (2022)
97-10-481-z2,zircon,2500,51.6,425.8,11.3,159.244530248239,90.6,0,,,,,,,,,,McDannell & Keller (2022)
97-10-481-z3,zircon,2500,50.3,350.3,11.7,316.602747482315,49.7,0,,,,,,,,,,McDannell & Keller (2022)
97-10-481-z4,zircon,2500,47.5,345.9,11.5,542.265351755536,5.1,0,,,,,,,,,,McDannell & Keller (2022)
97-10-481-z5,zircon,2500,83.4,82.6,3.8,1006.89403103344,4.1,0,,,,,,,,,,McDannell & Keller (2022)
97-10-481-z6,zircon,2500,48.7,538.3,9.2,147.926652163264,53.4,0,,,,,,,,,,McDannell & Keller (2022)
97-10-481-z7,zircon,2500,51.3,464.1,9.2,133.332546211586,45.8,0,,,,,,,,,,McDannell & Keller (2022)
97-10-499-z1,zircon,2500,43.3,0.8,0.01,989.222256479707,171.5,0,,,,,,,,,,McDannell & Keller (2022)
97-10-499-z2,zircon,2500,48.2,1.4,0.03,1717.63691884338,155,0,,,,,,,,,,McDannell & Keller (2022)
97-10-499-z3,zircon,2500,58,124.1,2.9,838.615054243686,218.1,0,,,,,,,,,,McDannell & Keller (2022)
97-10-499-z4,zircon,2500,40.8,25.7,0.6,802.7751069746,72.4,0,,,,,,,,,,McDannell & Keller (2022)
97-10-499-z5,zircon,2500,54.5,1.1,0.03,832.658276304226,270.2,0,,,,,,,,,,McDannell & Keller (2022)
97-10-418_a02,apatite,2500,38.92,215.42,10.46,8.84581524009855,12.93,3.2145,,,,,,,,,,McDannell & Keller (2022)
97-10-418_a03,apatite,2500,29.08,214.16,14.86,10.8413358498177,18.29,5.859,,,,,,,,,,McDannell & Keller (2022)
97-10-418_a05,apatite,2500,35,238.2,4.43,74.9859062945728,146.4,13.6755,,,,,,,,,,McDannell & Keller (2022)
97-10-418_a06,apatite,2500,41.72,210.66,5.81,55.2590433517267,83,8.439,,,,,,,,,,McDannell & Keller (2022)
