step,time [s],temperature [C],He-3,He-3 sigma,He-4/He-3,He-4/He-3 sigma,fit
1,1368,260,0.358,0.025,61,22,1
2,1836,290,0.488,0.03,109,18,1
3,2376,300,0.451,0.028,157,21,1
4,2376,310,0.38,0.026,168,25,1
5,1656,330,0.365,0.025,194,27,1
6,1620,340,0.338,0.025,269,29,1
7,1728,350,0.335,0.024,292,35,1
8,2376,350,0.326,0.024,344,35,1
9,1908,370,0.363,0.025,362,34,1
10,1728,400,0.499,0.03,404,30,1
11,1800,410,0.314,0.024,414,46,1
12,2016,420,0.246,0.021,433,63,1
13,2268,440,0.187,0.018,391,67,1
14,1800,475,0.092,0.012,291,107,1
15,1800,500,0.05,0.009,455,207,0
16,1800,550,0.046,0.008,405,310,0
17,1800,700,0.055,0.009,371,219,0
